kind,prompt_tokens,decode_steps,run,prefill_ms,decode_ms,mhz_mean,mhz_min
decode100,0,100,1,51.64,1938.45,3682,3312
decode100,0,100,2,37.85,1704.99,3522,1777
decode100,0,100,3,37.95,1700.10,3505,2268
decode100,0,100,4,39.17,1686.97,3528,2728
decode100,0,100,5,46.67,1711.65,3537,2214
decode100,0,100,6,36.98,1814.02,3610,3132
prefill,16,1,1,126.19,28.51,3817,3415
prefill,16,1,2,87.25,18.01,3477,2634
prefill,16,1,3,107.13,17.46,3560,3041
prefill,16,1,4,103.96,20.59,3800,3345
prefill,16,1,5,79.97,17.41,3264,2167
prefill,16,1,6,81.20,17.36,3246,2666
prefill,64,1,1,320.17,18.80,3311,2256
prefill,64,1,2,292.07,17.62,3214,2561
prefill,64,1,3,316.40,18.46,3309,2650
prefill,64,1,4,303.96,17.63,2989,2244
prefill,64,1,5,316.58,18.71,3674,3260
prefill,64,1,6,295.07,17.67,3636,3186
prefill,128,1,1,596.12,17.87,3265,2411
prefill,128,1,2,992.68,23.59,3421,3100
prefill,128,1,3,629.87,18.92,3414,2400
prefill,128,1,4,745.93,20.42,3481,3100
prefill,128,1,5,657.33,19.07,3483,3046
prefill,128,1,6,639.20,19.20,3437,2763
prefill,256,1,1,1500.83,23.07,3202,2224
prefill,256,1,2,1265.66,19.68,3316,2850
prefill,256,1,3,1259.39,19.91,3295,2580
prefill,256,1,4,1307.87,20.23,3286,2762
prefill,256,1,5,1563.20,25.21,3234,2650
prefill,256,1,6,1310.06,19.67,3015,1767
prefill,512,1,1,2800.61,21.68,3046,2659
prefill,512,1,2,2740.94,25.71,2920,2238
prefill,512,1,3,3041.30,32.72,2805,2050
prefill,512,1,4,3125.14,32.07,2780,2162
prefill,512,1,5,3309.65,29.79,2607,2029
prefill,512,1,6,3227.75,26.83,2770,2150
