intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095253692826,440,25,32,146368,692375,false,
1788095256360373,1012,25,32,138724,679824,false,
1788095257484800,432,25,32,150303,678395,true,
1788095258279796,311,25,32,140300,664783,true,
1788095259902119,136,25,32,138873,669121,true,
1788095260203566,594,25,32,516532,1051640,true,
1788095265904374,359,25,32,138715,669550,true,
1788095266521007,584,25,32,197104,727196,true,
1788095267748675,760,25,32,137418,666522,true,
1788095269567853,68,25,32,140239,670147,true,
1788095270075169,1002,25,32,304486,824894,true,
1788095270471162,853,25,32,575239,1099278,true,
1788095270597184,275,25,32,1124667,1646564,true,
1788095271709809,77,25,32,682415,1207755,true,
1788095273229888,1105,25,32,145209,673008,true,
1788095276870950,847,25,32,140143,687205,true,
1788095279360469,745,25,32,146654,731612,true,
1788095279701255,931,25,32,550664,1098164,true,
1788095280990719,702,25,32,150383,1098493,true,
1788095281108200,73,25,32,1136895,1690627,true,
1788095284339851,530,25,32,149143,696302,true,
1788095287427953,602,25,32,153032,698282,true,
1788095289659210,550,25,32,150942,698083,true,
1788095290749749,361,25,32,149392,700801,true,
1788095293350705,469,25,32,143395,700529,true,
1788095294860799,963,25,32,144290,692624,true,
